* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:16:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:08:03, Feb 2 19:10:03, Feb 2 19:11:53, Feb 2 19:13:10, Feb 2 19:14:39, Feb 2 19:16:14
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
95.215 67.038 -11.528
95.581 67.012 -14.558
95.947 66.996 -16.793
96.313 67.001 -18.259
96.680 67.043 -18.999
97.046 67.133 -19.069
97.412 67.285 -18.545
97.778 67.504 -17.522
98.145 67.793 -16.111
98.511 68.147 -14.440
98.877 68.557 -12.647
99.243 69.009 -10.875
99.609 69.490 -9.266
99.976 69.985 -7.957
100.342 70.483 -7.071
100.708 70.972 -6.712
101.074 71.444 -6.965
101.440 71.893 -7.891
101.807 72.313 -9.527
102.173 72.702 -11.889
102.539 73.057 -14.969
102.905 73.376 -18.746
103.271 73.659 -23.180
103.638 73.906 -28.225
104.004 74.118 -33.825
104.370 74.295 -39.922
104.736 74.439 -46.454
105.103 74.551 -53.363
105.469 74.635 -60.593
105.835 74.692 -68.092
106.201 74.725 -75.810
106.567 74.737 -83.706
106.934 74.732 -91.740
107.300 74.713 -99.878
107.666 74.684 -108.091
108.032 74.650 -116.352
108.398 74.615 -124.635
108.765 74.584 -132.920
109.131 74.560 -141.185
109.497 74.548 -149.412
109.863 74.553 -157.581
110.229 74.578 -165.677
110.596 74.625 -173.681
110.962 74.698 178.421
111.328 74.797 170.643
111.694 74.924 162.999
112.061 75.077 155.497
112.427 75.255 148.145
112.793 75.456 140.948
113.159 75.678 133.906
113.525 75.918 127.018
113.892 76.171 120.278
114.258 76.433 113.679
114.624 76.703 107.209
114.990 76.974 100.857
115.356 77.245 94.609
115.723 77.511 88.454
116.089 77.771 82.377
116.455 78.021 76.368
116.821 78.259 70.416
117.188 78.483 64.511
117.554 78.692 58.649
117.920 78.884 52.823
118.286 79.059 47.033
118.652 79.214 41.279
119.019 79.351 35.561
119.385 79.468 29.884
119.751 79.564 24.253
120.117 79.641 18.674
120.483 79.697 13.154
120.850 79.734 7.701
121.216 79.750 2.323
121.582 79.747 -2.973
121.948 79.726 -8.178
122.314 79.685 -13.287
122.681 79.627 -18.293
123.047 79.552 -23.190
123.413 79.460 -27.975
123.779 79.354 -32.645
124.146 79.232 -37.197
124.512 79.097 -41.629
124.878 78.949 -45.942
125.244 78.790 -50.134
125.610 78.619 -54.206
125.977 78.439 -58.158
126.343 78.250 -61.990
126.709 78.053 -65.702
127.075 77.848 -69.294
127.441 77.638 -72.765
127.808 77.423 -76.115
128.174 77.204 -79.346
128.540 76.983 -82.457
128.906 76.762 -85.453
129.272 76.543 -88.336
129.639 76.327 -91.114
130.005 76.118 -93.795
130.371 75.919 -96.391
130.737 75.732 -98.918
131.104 75.562 -101.392
131.470 75.412 -103.834
131.836 75.285 -106.267
132.202 75.184 -108.714
132.568 75.111 -111.203
132.935 75.068 -113.757
133.301 75.055 -116.403
133.667 75.072 -119.164
134.033 75.118 -122.064
134.399 75.190 -125.120
134.766 75.287 -128.351
135.132 75.403 -131.769
135.498 75.537 -135.385
135.864 75.684 -139.206
136.230 75.842 -143.235
136.597 76.006 -147.473
136.963 76.175 -151.918
137.329 76.346 -156.565
137.695 76.517 -161.408
138.062 76.685 -166.439
138.428 76.849 -171.647
138.794 77.008 -177.022
139.160 77.161 177.447
139.526 77.306 171.773
139.893 77.443 165.968
140.259 77.571 160.046
140.625 77.690 154.020
140.991 77.799 147.902
141.357 77.898 141.705
141.724 77.987 135.443
142.090 78.066 129.126
142.456 78.133 122.769
142.822 78.191 116.381
143.188 78.238 109.975
143.555 78.274 103.561
143.921 78.299 97.151
144.287 78.314 90.754
144.653 78.318 84.382
145.020 78.311 78.047
145.386 78.293 71.759
145.752 78.264 65.532
146.118 78.223 59.378
146.484 78.170 53.312
146.851 78.105 47.350
147.217 78.027 41.510
147.583 77.936 35.809
147.949 77.832 30.269
148.315 77.713 24.910
148.682 77.580 19.753
149.048 77.431 14.821
149.414 77.268 10.136
149.780 77.089 5.719
150.146 76.894 1.589
150.513 76.683 -2.236
150.879 76.457 -5.741
151.245 76.215 -8.916
151.611 75.958 -11.753
151.978 75.686 -14.249
152.344 75.400 -16.409
152.710 75.100 -18.240
153.076 74.788 -19.756
153.442 74.465 -20.976
153.809 74.132 -21.924
154.175 73.791 -22.630
154.541 73.444 -23.126
154.907 73.093 -23.449
155.273 72.740 -23.636
155.640 72.389 -23.729
156.006 72.040 -23.767
156.372 71.699 -23.790
156.738 71.366 -23.835
157.105 71.045 -23.936
157.471 70.739 -24.126
157.837 70.449 -24.432
158.203 70.177 -24.877
158.569 69.925 -25.479
158.936 69.692 -26.251
159.302 69.478 -27.201
159.668 69.284 -28.333
160.034 69.106 -29.646
160.400 68.943 -31.133
160.767 68.793 -32.786
161.133 68.654 -34.592
161.499 68.521 -36.535
161.865 68.393 -38.599
162.231 68.267 -40.763
162.598 68.141 -43.008
162.964 68.011 -45.313
163.330 67.876 -47.657
163.696 67.734 -50.022
164.063 67.584 -52.390
164.429 67.424 -54.743
164.795 67.252 -57.069
165.161 67.069 -59.356
165.527 66.874 -61.598
165.894 66.666 -63.789
166.260 66.444 -65.928
166.626 66.210 -68.019
166.992 65.962 -70.067
167.358 65.702 -72.083
167.725 65.428 -74.078
168.091 65.143 -76.067
168.457 64.846 -78.070
168.823 64.537 -80.104
169.189 64.219 -82.190
169.556 63.891 -84.350
169.922 63.554 -86.607
170.288 63.210 -88.980
170.654 62.859 -91.491
171.021 62.502 -94.159
171.387 62.142 -97.003
171.753 61.778 -100.038
172.119 61.413 -103.279
172.485 61.049 -106.737
172.852 60.685 -110.422
173.218 60.326 -114.340
173.584 59.972 -118.497
173.950 59.626 -122.893
174.316 59.290 -127.528
174.683 58.967 -132.400
175.049 58.659 -137.503
175.415 58.370 -142.829
175.781 58.101 -148.370
176.147 57.855 -154.113
176.514 57.636 -160.046
176.880 57.445 -166.152
177.246 57.285 -172.418
177.612 57.156 -178.824
177.979 57.060 174.646
178.345 56.996 168.011
178.711 56.965 161.290
179.077 56.965 154.500
179.443 56.994 147.661
179.810 57.051 140.787
180.176 57.133 133.895
180.542 57.237 126.998
180.908 57.361 120.108
181.274 57.501 113.233
181.641 57.655 106.380
182.007 57.821 99.554
182.373 57.996 92.755
182.739 58.177 85.982
183.105 58.362 79.230
183.472 58.550 72.493
183.838 58.739 65.760
184.204 58.927 59.020
184.570 59.113 52.260
184.937 59.295 45.463
185.303 59.473 38.615
185.669 59.645 31.697
186.035 59.810 24.694
186.401 59.969 17.587
186.768 60.119 10.361
187.134 60.260 2.999
187.500 60.393 -4.512
187.866 60.517 -12.186
188.232 60.631 -20.034
188.599 60.735 -28.063
188.965 60.830 -36.283
189.331 60.916 -44.697
189.697 60.992 -53.307
190.063 61.060 -62.115
190.430 61.119 -71.119
190.796 61.170 -80.315
191.162 61.214 -89.697
191.528 61.251 -99.257
191.895 61.283 -108.987
192.261 61.310 -118.877
192.627 61.333 -128.914
192.993 61.354 -139.086
193.359 61.373 -149.379
193.726 61.392 -159.779
194.092 61.411 -170.271
194.458 61.433 179.160
194.824 61.457 168.529
195.190 61.486 157.853
195.557 61.520 147.145
195.923 61.560 136.421
196.289 61.608 125.697
196.655 61.663 114.986
197.021 61.727 104.303
197.388 61.800 93.662
197.754 61.882 83.075
198.120 61.974 72.555
198.486 62.074 62.113
198.853 62.184 51.762
199.219 62.303 41.511
199.585 62.429 31.370
199.951 62.564 21.350
200.317 62.705 11.458
200.684 62.852 1.703
201.050 63.004 -7.907
201.416 63.161 -17.366
201.782 63.321 -26.668
202.148 63.483 -35.805
202.515 63.647 -44.774
202.881 63.812 -53.568
203.247 63.976 -62.184
203.613 64.139 -70.616
203.980 64.301 -78.862
204.346 64.459 -86.918
204.712 64.615 -94.781
205.078 64.767 -102.448
205.444 64.915 -109.917
