* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:20:37, Feb 2 19:21:44, Feb 2 19:23:07, Feb 2 19:24:30, Feb 2 19:25:49, Feb 2 19:27:21
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
94.849 75.913 -126.230
95.215 75.855 -128.877
95.581 75.786 -131.502
95.947 75.705 -134.092
96.313 75.615 -136.638
96.680 75.516 -139.130
97.046 75.410 -141.561
97.412 75.298 -143.923
97.778 75.181 -146.211
98.145 75.060 -148.418
98.511 74.938 -150.541
98.877 74.815 -152.573
99.243 74.694 -154.511
99.609 74.576 -156.353
99.976 74.463 -158.097
100.342 74.360 -159.743
100.708 74.267 -161.295
101.074 74.189 -162.758
101.440 74.128 -164.142
101.807 74.087 -165.460
102.173 74.068 -166.730
102.539 74.073 -167.972
102.905 74.102 -169.210
103.271 74.156 -170.469
103.638 74.231 -171.778
104.004 74.326 -173.162
104.370 74.437 -174.647
104.736 74.558 -176.255
105.103 74.686 -178.003
105.469 74.816 -179.903
105.835 74.942 178.038
106.201 75.061 175.823
106.567 75.168 173.459
106.934 75.261 170.960
107.300 75.337 168.348
107.666 75.394 165.647
108.032 75.430 162.887
108.398 75.445 160.098
108.765 75.439 157.313
109.131 75.411 154.566
109.497 75.362 151.887
109.863 75.293 149.308
110.229 75.207 146.854
110.596 75.104 144.548
110.962 74.987 142.409
111.328 74.858 140.452
111.694 74.722 138.684
112.061 74.581 137.109
112.427 74.439 135.726
112.793 74.301 134.527
113.159 74.170 133.502
113.525 74.051 132.636
113.892 73.948 131.911
114.258 73.864 131.308
114.624 73.803 130.804
114.990 73.766 130.380
115.356 73.756 130.015
115.723 73.773 129.689
116.089 73.817 129.386
116.455 73.888 129.090
116.821 73.985 128.789
117.188 74.106 128.473
117.554 74.250 128.133
117.920 74.415 127.763
118.286 74.601 127.355
118.652 74.804 126.905
119.019 75.023 126.407
119.385 75.257 125.857
119.751 75.503 125.248
120.117 75.761 124.576
120.483 76.028 123.834
120.850 76.303 123.017
121.216 76.584 122.118
121.582 76.869 121.131
121.948 77.157 120.051
122.314 77.445 118.870
122.681 77.733 117.584
123.047 78.017 116.186
123.413 78.298 114.672
123.779 78.573 113.036
124.146 78.841 111.274
124.512 79.100 109.384
124.878 79.348 107.362
125.244 79.585 105.208
125.610 79.808 102.922
125.977 80.018 100.507
126.343 80.212 97.967
126.709 80.390 95.308
127.075 80.552 92.539
127.441 80.696 89.669
127.808 80.823 86.710
128.174 80.931 83.674
128.540 81.022 80.576
128.906 81.094 77.430
129.272 81.150 74.250
129.639 81.188 71.050
130.005 81.209 67.844
130.371 81.215 64.644
130.737 81.206 61.461
131.104 81.182 58.305
131.470 81.145 55.184
131.836 81.095 52.106
132.202 81.034 49.075
132.568 80.961 46.096
132.935 80.878 43.173
133.301 80.785 40.308
133.667 80.683 37.502
134.033 80.573 34.758
134.399 80.454 32.077
134.766 80.328 29.460
135.132 80.194 26.909
135.498 80.053 24.425
135.864 79.904 22.010
136.230 79.749 19.664
136.597 79.588 17.391
136.963 79.419 15.190
137.329 79.245 13.063
137.695 79.065 11.011
138.062 78.880 9.032
138.428 78.690 7.124
138.794 78.495 5.286
139.160 78.298 3.512
139.526 78.098 1.796
139.893 77.896 0.132
140.259 77.694 -1.490
140.625 77.493 -3.080
140.991 77.294 -4.650
141.357 77.098 -6.214
141.724 76.907 -7.784
142.090 76.720 -9.376
142.456 76.540 -11.004
142.822 76.367 -12.683
143.188 76.201 -14.428
143.555 76.043 -16.253
143.921 75.892 -18.172
144.287 75.748 -20.197
144.653 75.610 -22.339
145.020 75.479 -24.609
145.386 75.352 -27.017
145.752 75.228 -29.569
146.118 75.107 -32.272
146.484 74.987 -35.131
146.851 74.867 -38.150
147.217 74.745 -41.332
147.583 74.620 -44.679
147.949 74.491 -48.190
148.315 74.356 -51.867
148.682 74.216 -55.708
149.048 74.068 -59.712
149.414 73.912 -63.876
149.780 73.748 -68.200
150.146 73.575 -72.678
150.513 73.393 -77.310
150.879 73.201 -82.090
151.245 72.999 -87.016
151.611 72.787 -92.083
151.978 72.566 -97.287
152.344 72.335 -102.623
152.710 72.096 -108.087
153.076 71.847 -113.673
153.442 71.591 -119.375
153.809 71.327 -125.188
154.175 71.057 -131.104
154.541 70.781 -137.118
